Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24
1,1,1,1,,1,,,,,,,,,,,,,,,,,,,
1,1,,1,,1,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
1,1,1,,1,,,1,,,,,,,,,,,,,,,,,
1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
1,1,1,1,,1,,,1,,,,,,,,,,,,,,,,
1,1,1,,,1,,1,1,,,,,,,,,,,,,,,,
1,1,1,,,,,,1,,,,,,,,,,,,,,,,
1,,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,
1,1,,1,,,,1,,,1,,,,,,,,,,,,,,
1,1,1,1,,1,1,,,1,,1,,,,,,,,,,,,,
1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,
1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,
1,1,1,,1,,1,,,,1,,1,,,,,,,,,,,,
1,1,1,1,,,,,,,1,,1,,,,,,,,,,,,
1,1,1,1,1,1,,,,,1,1,,1,,,,,,,,,,,
1,,1,,1,1,1,,1,,,,,1,,,,,,,,,,,
1,,,1,1,,,,,1,,1,,1,,,,,,,,,,,
1,1,1,1,,,1,0,1,,,1,,1,,,,,,,,,,,
1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,
1,1,1,1,1,1,,1,,,,,1,,1,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,,,,,,,1,,,,,,,,
1,1,1,1,1,,,1,,,1,1,,,1,,1,,,,,,,,
1,1,,1,,1,,,,,,,,,,,1,1,,,,,,,
1,1,1,1,,,1,1,,,,1,,1,,1,,1,,,,,,,
1,1,1,1,1,1,1,1,,,,1,,1,1,1,,,1,,,,,,
1,1,1,1,1,,1,,1,,,1,,1,1,1,,,,,,1,,,1
